Description,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
"TEA,OG3,GINKGO CLARITY",1.046961,0.258922000568303,0.0,3.0,16.766353,4.53069977006676,0.0,48.15,362,178,Packaged Tea
ALBA CLEANSNG GEL SEA MIN,2.671511,2.1905447582865802,1.0,12.0,13.896889000000002,11.417330667364302,0.0,63.48,344,196,Body Care
OG2 O.P. BEEF JERKY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Packaged Grocery
"CRUSHED HOT RD PEPPR,OG",3.214134,1.6848852395639398,0.0,12.0,9.449314,4.92631161571366,0.0,35.76,1415,277,Packaged Grocery
"SODA,OG2,GINGER ALE",1.319009,2.36092208457771,1.0,100.0,14.332381,20.5243681154249,0.0,849.0,1978,274,Packaged Grocery
Tranquility Bubble Bath,2.1990950000000002,1.6416349062911,0.0,15.0,9.888053999999999,7.025334608713799,0.0,64.8,442,205,Body Care
AMER ESTER C 1000 W/BIOF,2.362565,1.8972869405808797,0.0,18.0,29.954148999999997,24.1301524298337,0.0,236.52,764,250,Vitamins
"FLOUR,OG2,BROWN RICE",0.063291,0.24504171031127603,0.0,1.0,0.9164549999999999,3.56747883323449,0.0,15.31,79,64,Packaged Grocery
"DSP,OIL,PORK LARD",0.3875,0.506849634234985,0.0,2.0,12.577967999999998,16.6810138708885,0.0,71.86,320,175,Packaged Grocery
AH DLX ROTINI & WHT CHED,1.076086,0.354015085726349,1.0,4.0,34.953206,11.4637153897134,32.36,129.8,184,113,Packaged Grocery
RL JUST ONCE MULTI,1.086206,0.923085648430073,0.0,3.0,24.742586,20.9305342770799,0.0,68.49,58,49,Vitamins
9N  =  HONEY BLONDE,1.7599,1.13342012565496,1.0,9.0,14.011904999999999,8.839678625074821,6.63,82.26,404,204,Body Care
"GRINDR,OG2,DAILY GRIN",3.4156760000000004,1.9037910374944198,0.0,12.0,14.607268,8.07484803906402,0.0,52.56,421,210,Packaged Grocery
NV MED PITTD BLK OLIVES,0.9705879999999999,0.16979208910779,0.0,1.0,35.41245,6.20336054506168,0.0,37.87,102,88,Packaged Grocery
VIRGILS DIET ROOT BEER,1.0161870000000002,0.336527890084875,0.0,6.0,22.806528,7.16261140668229,0.0,123.48,556,244,Packaged Grocery
"DSP,OIL,DUCK FAT",0.488413,0.7173546244673661,0.0,12.0,17.539786,24.688113832308503,0.0,380.28,561,231,Packaged Grocery
OG2 EC NORI SEA VEGGIES,1.061511,0.36300559732557197,0.0,6.0,25.418945,9.09459098331074,0.0,142.26,569,234,Packaged Grocery
"TP,A/P,FENL W/PROP&MYRRH",1.207561,0.6699080182707321,0.0,8.0,24.221867,13.440174952930699,0.0,155.6,1296,268,Body Care
CS SUGAR PLUM SPICE TEA,3.375,4.71586277388641,0.0,25.0,35.649583,49.6669362581336,0.0,263.5,48,12,Packaged Tea
BIOPLASM CELL SALT 500,1.915929,1.13019694422847,0.0,6.0,13.363318,7.86300581798136,0.0,42.3,226,146,Vitamins
"TORTILLA CHIPS,FLOUR",0.301724,0.514482899301,0.0,3.0,8.354913,14.082240958998199,0.0,76.59,116,93,Packaged Grocery
CANOLA MAYONNAISE,1.733516,1.4790151551501998,0.0,8.0,30.773640000000004,14.151532326891301,0.0,187.2,728,237,Packaged Grocery
"BAR,PEANUT BUTTER COO",1.520833,1.1860626038253501,0.0,15.0,22.861797,17.0408409072882,0.0,166.7,2592,279,Packaged Grocery
OG3 ZAND BLUEBERRY LOZ,0.940298,0.341627991621603,0.0,2.0,17.485970000000002,6.3205744860485895,0.0,37.5,134,101,Vitamins
"LOTION,ANTIFUNGAL",2.068627,1.4194969199838798,0.0,6.0,10.81245,7.43546360936931,0.0,31.68,204,140,Body Care
CS WILD BERRY ZINGER,1.0915030000000001,0.477926953295813,1.0,6.0,12.724771,5.1455645290216,1.76,63.24,153,116,Packaged Tea
"BAKED TOFU,OG,SAVORY",1.14721,0.5736847174031011,0.0,10.0,17.749012,8.6163578972392,0.0,162.3,2330,279,Refrigerated Grocery
"ICE CRM BAR,OG,COFFEE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,Frozen
"SALAD DRESSING,GNGR&SESAM",0.61153,0.537997311745077,0.0,3.0,13.119832,11.613491968969901,0.0,55.74,1856,275,Packaged Grocery
REDMOND KOSHER SALT PCH,0.8309850000000001,0.38574084800207004,0.0,2.0,22.648732,10.5202314020576,0.0,54.3,497,216,Packaged Grocery
"COCONUT MILK,OG2,PLAI",1.162641,0.6721771345568891,0.0,10.0,16.333343,9.345751491010711,0.0,149.6,4513,292,Refrigerated Grocery
"FLAX OIL,OG,(REFRIG)",2.482093,1.6824029191495902,0.0,12.0,28.977217,19.741331651796102,0.0,139.32,363,191,Vitamins
NN CHOCODRM RCE STX COCO,0.416666,0.514928650544437,0.0,1.0,10.248333,12.6958488801607,0.0,25.25,12,12,Packaged Grocery
"TEA,OG1,GRN TEA W/ LM",0.913907,0.35419455867539895,0.0,2.0,16.492615,6.77053805049262,0.0,37.5,302,175,Packaged Tea
"FRZ PROBUG PUSHUP,STRWNA",0.8909090000000001,0.314626602482846,0.0,1.0,34.930909,13.5741766372945,0.0,41.98,55,51,Frozen
GRAIN ALMOND AMAZAKE,0.851851,0.553395468948306,0.0,2.0,28.380888,18.651186608110102,0.0,68.56,135,73,Refrigerated Grocery
"HAIR WASH,PLUMERIA REPLN",3.156028,2.49938188913997,0.0,12.0,16.004539,12.8468108035295,0.0,62.28,141,106,Body Care
"KOMBUCHA,OG2,ORIGINAL",1.108688,0.67390002670917,0.0,10.0,28.415360999999997,17.1718484268461,0.0,254.0,6008,293,Refrigerated Grocery
"Bok Choy, Baby, Local, 10 lb , Organic",1.046979,0.271915863818525,0.0,4.0,16.357281,4.24623383553904,0.0,52.24,894,251,Packaged Tea
"SHWR GEL,CUC/MLN,S1383983",2.738532,2.91022480490056,0.0,20.0,12.89438,13.815423326289801,0.0,96.4,436,207,Body Care
OG2 CASC GARDENERS BLEND,1.144126,0.51360689954395,0.0,8.0,23.039644,10.438620526208402,0.0,162.96,1013,248,Frozen
"COCNT ICRM,OG2,DARK C",1.054216,0.265701026569373,1.0,4.0,32.823909,8.06010887701706,0.0,123.72,1660,270,Frozen
"HAND & BDY LOTN,YUZU",2.689567,1.7900855258777202,0.0,15.0,12.080458,7.69681346693481,0.0,62.1,393,198,Body Care
"COOKIES,CHOC CHIP PECAN",1.021126,0.22180145294163503,0.0,2.0,19.876901,4.37841436098181,0.0,39.7,142,109,Packaged Grocery
OG2 COKND CALMING PWDR,2.4852939999999997,1.7996073125456797,0.0,8.0,10.738235000000001,8.20627625501732,0.0,37.44,68,56,Body Care
OG2 BRONR LMN LM LP BALM,0.833333,0.47759827655221204,0.0,3.0,14.461972,8.421528088415249,0.0,51.99,294,157,Body Care
"SUGAR,OG,FT,EVAPORAT C",1.0309270000000001,0.45758605553768605,0.0,7.0,40.586219,16.144698226793302,0.0,242.06,291,181,Packaged Grocery
OG2 AH SMMR BNY FRT SNCK,0.803249,0.778614515024807,0.0,10.0,26.311787,23.6497233304303,0.0,254.8,1108,252,Packaged Grocery
CRYSTL ROLL ON CHAM/GTEA,2.567209,1.70179019334562,0.0,18.0,5.334745,3.4289621362237104,0.0,35.46,982,262,Body Care
KNUD CRANBERRY NECTAR,1.225165,0.7790631176410671,1.0,6.0,29.299205,14.3224024749826,6.75,151.02,302,154,Packaged Grocery
"ZBAR,OG,CHOCOLATE BROW",0.997885,0.489287543779813,0.0,8.0,41.849957,20.229811070062198,0.0,333.84,473,207,Packaged Grocery
AT HERBAL ARMOR SPRAY,4.235849,3.9078287853961404,0.0,36.0,9.597405,8.481313407943329,0.0,77.4,212,108,Body Care
"ESSENTIAL OIL,SANDALW",1.695652,1.00817911145438,1.0,5.0,68.71086899999999,40.957548094261206,32.95,174.4,46,42,Body Care
"WAFFLES,BLUEBERRY,WF/",0.657618,0.519550937826306,0.0,3.0,14.307653,11.356696909970601,0.0,55.5,2284,277,Frozen
"VINGRT,OG,OLIVE OIL&BA",1.022641,0.358152619741942,0.0,3.0,13.856264000000001,4.73168366532973,0.0,35.34,265,161,Packaged Grocery
"POT CHIPS,LG SLT S#236455",1.0361790000000002,0.399303364677784,0.0,10.0,33.382959,12.653690093703698,0.0,324.0,1382,273,Packaged Grocery
"WHEAT GRASS 500MG TABS,OG",1.469135,1.40611539136273,0.0,6.0,12.904197,12.295108464771399,0.0,51.3,81,66,Vitamins
"JR,OG,TNDR CHCKEN & STARS",0.924528,0.299145233323124,0.0,2.0,14.42283,5.1676074881749905,0.0,31.74,106,86,Packaged Grocery
"SKILLET SCE,TACO,NEW MEX",1.158319,0.499975165508798,0.0,6.0,10.120985000000001,4.3706257094403895,0.0,53.82,619,221,Packaged Grocery
AC HEART SONG BUBL BATH,1.422018,1.49354828901398,0.0,10.0,6.393486,6.5429207687406095,0.0,43.2,436,187,Body Care
GMG SALSA MEDIUM,1.5778299999999998,1.67224017926548,0.0,50.0,43.051662,44.0742703577717,0.0,1609.0,2923,284,Packaged Grocery
"Meats, Bacon, Turkey, Uncured Sugar Free, Antibiot",1.21875,0.653824869335474,-2.0,6.0,64.657157,31.3023022505807,-56.09,336.54,672,252,Meat
"APL CIDR VNGR,OG2,RAW",1.414321,3.47837904336923,0.0,150.0,43.691669,143.29981606708,0.0,6742.5,5935,293,Packaged Grocery
"CKY,OG2,SPRTD GINGER SNAP",0.982261,0.31922856014803996,0.0,6.0,33.967583000000005,10.346949272947901,0.0,174.42,451,208,Packaged Grocery
"SUNSCRN,FACE,SPF 30,TUBE",3.45,3.4928498393146,0.0,18.0,7.414375,7.53633608789754,0.0,37.44,80,55,Body Care
"MILK,VANILLA",0.793774,0.46335516339884003,0.0,2.0,13.090856,9.56089629988764,0.0,40.42,514,209,Refrigerated Grocery
"SPRAY OIL,CANOLA,HI H",1.016574,0.127788662662021,1.0,2.0,23.635119,4.057208419704581,0.0,50.8,543,230,Packaged Grocery
"SOUP,OG,CREAM CHICKEN",1.014888,0.140279305388797,1.0,3.0,22.833573,3.65984056642062,0.0,58.02,403,191,Packaged Grocery
YP NATURAL SKIN BRUSH,2.060356,1.22100678332745,0.0,12.0,12.273031,7.26144142672675,0.0,70.08,729,235,Body Care
ZEVIA COLA SODA CAFF FRE,1.3231110000000001,1.08556666415818,0.0,20.0,19.189147,15.9624698647362,0.0,297.6,1337,262,Packaged Grocery
"CHOC,OG2,DARK,85%",1.343206,0.7622624307293101,0.0,9.0,30.077227,16.4320250180578,0.0,176.94,3106,284,Packaged Grocery
"THROAT DROPS,BLACK CHERRY",0.88,0.32714985408376196,0.0,1.0,5.314266,13.023655211309302,0.0,41.39,75,20,Vitamins
"OATMEAL,GF,BRWN SGAR MPLE",1.073593,0.415717910988971,1.0,4.0,16.328528,5.493183483256849,0.0,56.68,231,154,Packaged Grocery
