index,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
677,1.018181,0.195269789680508,0.0,4.0,50.620929,10.0154161911946,0.0,203.84,495,218,Frozen
4971,0.9930969999999999,0.334028286852758,0.0,8.0,18.98197,6.50337294103237,0.0,156.16,3477,290,Refrigerated Grocery
4762,2.088541,1.4852810449907101,1.0,13.0,9.058697,6.42483958499625,3.63,53.76,576,236,Vitamins
3317,1.1392930000000001,0.451080553752504,0.0,4.0,22.904033,8.955611692242151,0.0,83.2,481,218,Body Care
4725,0.877192,0.425532248173495,0.0,2.0,65.888421,31.6479924205015,0.0,139.56,57,46,Packaged Grocery
5096,0.0,,0.0,0.0,0.0,,0.0,0.0,1,1,Packaged Grocery
3147,2.242884,1.85957128217682,0.0,12.0,20.339392,17.2977555636372,0.0,115.32,527,211,Body Care
3801,1.088803,0.426208732643459,0.0,6.0,37.778513000000004,15.6919179480584,0.0,216.06,518,206,Packaged Grocery
3447,1.462573,1.25783220498655,0.0,12.0,36.297426,31.828975244079498,0.0,306.6,1189,254,Packaged Grocery
547,2.334379,1.3928033132072601,0.0,12.0,14.318006,8.52603987349864,0.0,72.6,637,230,Vitamins
5335,0.411392,0.499266087854779,0.0,2.0,8.571803,10.495741218232899,0.0,36.96,316,153,Packaged Grocery
4840,0.583333,0.577350269189626,0.0,2.0,5.4775,5.487004957557019,0.0,20.62,48,35,Packaged Grocery
5550,1.055444,0.327441599471597,1.0,8.0,18.993279,6.072962698137701,0.0,150.0,1497,275,Packaged Tea
691,1.0026950000000001,0.146918914926978,0.0,4.0,36.983678999999995,3.8596998155567204,0.0,74.76,742,252,Packaged Grocery
4692,2.429048,1.49398714450733,0.0,12.0,16.63055,10.3008154138866,0.0,86.4,599,217,Body Care
