UniversalProductCode	AvgUnitsShipped	StdUnitsShipped	MinUnitsShipped	MaxUnitsShipped	AvgNetAmount	StdNetAmount	MinNetAmount	MaxNetAmount	NumberOfTransactions	NumberOfTransactionDays	GLCategory
069765869205	1.000000	0	1.000000	1.000000	37.183750	2.49553851903743	34.920000	40.500000	8	8	Inventory - Packaged Grocery
002250613410	1.145454	0.573699157478296	1.000000	6.000000	35.645381	8.05425834572422	0.000000	76.200000	275	174	Inventory - Packaged Grocery
085688520009	4.336294	4.41870224138558	0.000000	36.000000	8.962798	9.04939239422499	0.000000	79.560000	1576	264	Inventory - Body Care
089477300104	1.343834	0.910368457548008	0.000000	20.000000	19.427881	13.1874720549588	0.000000	231.400000	3682	290	Inventory - Packaged Grocery
025317775304	1.579902	1.61761433419262	-3.000000	26.000000	72.828589	68.66582812715	-123.660000	1071.720000	1531	237	Inventory - Meat
085774100203	0.058823	0.242535625036333	0.000000	1.000000	0.791176	3.26210415673868	0.000000	13.450000	17	16	Inventory - Packaged Grocery
007101205050	1.000000	0	1.000000	1.000000	34.718656	0.866635597675744	33.980000	38.010000	67	55	Inventory - Packaged Grocery
003997801452	1.036563	0.33498329348217	1.000000	8.000000	20.460036	6.15756796325498	0.000000	136.560000	547	237	Inventory - Packaged Grocery
085355500650	1.085076	0.796123920743632	0.000000	10.000000	14.299665	10.4546638786321	0.000000	138.600000	717	246	Inventory - Packaged Grocery
089758000011	1.009523	0.259260712828067	0.000000	3.000000	37.145238	10.3993616756065	0.000000	120.270000	105	79	Inventory - Packaged Grocery
085829300218	2.538461	2.25402732183878	0.000000	20.000000	15.615913	13.7303742461498	0.000000	125.200000	208	130	Inventory - Body Care
009396600204	1.153334	0.492864905059421	0.000000	6.000000	26.378707	11.191524371294	0.000000	136.380000	5113	293	Inventory - Refrigerated Grocery
002190851495	1.358223	1.00081926693384	1.000000	25.000000	42.498464	28.4425108774829	0.000000	576.750000	2116	271	Inventory - Frozen
070059600211	1.120331	0.373666369929911	0.000000	3.000000	7.037302	2.33486843570108	0.000000	19.590000	241	156	Inventory - Body Care
085564300601	0.457317	0.49970064358939	0.000000	1.000000	3.647987	4.53549507310201	0.000000	10.300000	164	121	Inventory - Refrigerated Grocery
003098501200	1.703422	1.2492240647455	0.000000	6.000000	12.119277	8.771178897223	0.000000	45.960000	263	165	Inventory - Body Care
075121790102	0.662198	0.88511738684314	0.000000	6.000000	5.771742	8.05634111555242	0.000000	57.420000	373	197	Inventory - Packaged Grocery
002836782881	1.895555	1.2069685480456	0.000000	12.000000	8.289822	5.3375673216031	0.000000	52.680000	450	214	Inventory - Body Care
002250600285	1.532507	1.27616548695504	0.000000	8.000000	73.751702	26.4134473188457	0.000000	169.180000	323	192	Inventory - Packaged Grocery
003367418300	2.125000	1.12880181980146	0.000000	6.000000	9.653437	5.12045462281961	0.000000	27.240000	32	31	Inventory - Vitamins
002529360040	0.927223	0.535691177017797	0.000000	10.000000	15.166424	8.88782152014497	0.000000	166.900000	1113	280	Inventory - Refrigerated Grocery
008411411271	1.019398	0.223849869848441	0.000000	6.000000	15.672036	3.42142511649263	0.000000	90.480000	1031	273	Inventory - Packaged Grocery
080154150012	1.031690	0.227824530489474	0.000000	3.000000	17.851197	4.30327408799328	0.000000	48.180000	568	201	Inventory - Packaged Tea
082926200001	1.146551	0.620099766860908	0.000000	6.000000	21.745797	11.032590549022	0.000000	101.880000	464	220	Inventory - Packaged Grocery
018341300385	0.794117	0.410425630121905	0.000000	1.000000	69.075882	36.1109650196779	0.000000	91.980000	34	33	Inventory - Packaged Grocery
072534228103	1.140350	0.623527223461838	0.000000	10.000000	25.090397	11.3492575965911	0.000000	244.000000	1083	251	Inventory - Packaged Grocery
007852202107	1.984848	1.36852684042632	0.000000	12.000000	14.300050	10.0268152399106	0.000000	91.080000	198	147	Inventory - Body Care
002188841001	1.491452	2.12332529917271	0.000000	12.000000	17.013504	24.0574442831238	0.000000	135.480000	234	147	Inventory - Vitamins
007697022104	2.920833	2.10823599528853	0.000000	12.000000	8.152125	5.82757042886144	0.000000	33.360000	480	216	Inventory - Body Care
081166002168	0.800000	0.410391340834062	0.000000	1.000000	22.211500	11.4505441263494	0.000000	28.670000	20	19	Inventory - Vitamins
079921011250	1.057692	0.401386485959743	1.000000	6.000000	32.282115	10.3309788339085	0.000000	188.580000	676	233	Inventory - Packaged Grocery
007341602074	0.311320	0.465233326963493	0.000000	1.000000	3.535377	5.28896986540827	0.000000	12.140000	106	83	Inventory - Packaged Grocery
002418200220	1.010230	0.247857896031885	0.000000	3.000000	17.743580	4.36361041623182	0.000000	52.410000	391	185	Inventory - Packaged Grocery
002818910448	1.000000	0	1.000000	1.000000	30.504038	3.05100578698516	25.450000	34.500000	52	48	Inventory - Packaged Grocery
004227200540	1.087939	0.467623754992588	1.000000	6.000000	28.263605	7.99557825538001	6.810000	109.320000	796	255	Inventory - Packaged Grocery
002743401021	2.718750	2.17366013606009	0.000000	8.000000	11.287187	9.21241106557502	0.000000	33.920000	32	29	Inventory - Vitamins
069899780803	1.008196	0.0903492664500032	1.000000	2.000000	21.266844	2.77778182968733	0.000000	43.400000	244	153	Inventory - Frozen
000005645460	0.907894	1.29797412998305	0.000000	6.000000	4.626052	6.59323533711078	0.000000	32.040000	76	68	Inventory - Body Care
009370930160	0.736486	0.463757483181238	0.000000	3.000000	13.270101	8.35179828336175	0.000000	46.710000	296	176	Inventory - Packaged Grocery
005260305494	0.950549	0.511869823838221	0.000000	6.000000	27.437252	14.2252553369529	0.000000	160.560000	364	168	Inventory - Packaged Grocery
007225100030	1.066749	0.434290633144312	0.000000	6.000000	17.254585	6.33346044010582	0.000000	87.060000	809	246	Inventory - Packaged Grocery
085201700305	0.085106	0.282056672846969	0.000000	1.000000	1.013617	3.35929497360741	0.000000	11.910000	47	43	Inventory - Refrigerated Grocery
007321400828	0.557746	1.12942938092912	0.000000	12.000000	7.896450	15.9187630229385	0.000000	167.520000	355	176	Inventory - Packaged Grocery
065287800641	0.900000	0.303045763365663	0.000000	1.000000	15.681000	5.28411336759844	0.000000	17.810000	50	45	Inventory - Packaged Grocery
035497332572	2.666666	1.90812622752843	0.000000	13.000000	13.898520	9.83039646265581	0.000000	69.290000	1284	262	Inventory - Vitamins
007684020016	1.036866	0.211969043909805	0.000000	2.000000	11.826451	2.48062713074097	0.000000	23.340000	217	144	Inventory - Frozen
859902000027	1.000000	0	1.000000	1.000000	51.320000	0	51.320000	51.320000	16	16	Inventory - Refrigerated Grocery
085107000642	0.731843	0.939777556703029	0.000000	10.000000	8.937560	15.3325505676967	0.000000	177.800000	537	100	Inventory - Packaged Grocery
082946250103	0.494290	0.538137092127603	0.000000	2.000000	7.745399	8.42324714868965	0.000000	34.220000	613	233	Inventory - Refrigerated Grocery
007572000050	1.361413	2.88533253043625	0.000000	65.000000	10.186634	18.8988444937225	0.000000	458.900000	2208	293	Inventory - Packaged Grocery
005138188270	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	10	8	Inventory - Body Care
007205011002	0.000000	0	0.000000	0.000000	0.000000	0	0.000000	0.000000	122	54	Inventory - Refrigerated Grocery
072243000116	0.889726	1.51224499510557	0.000000	20.000000	22.601885	38.4150851858953	0.000000	508.000000	1061	171	Inventory - Refrigerated Grocery
073621107523	0.664179	0.532734165084129	0.000000	4.000000	10.966455	8.71758404933176	0.000000	54.880000	268	154	Inventory - Refrigerated Grocery
089347000122	1.000000	0	1.000000	1.000000	32.889455	0.46974166948083	32.100000	34.580000	147	115	Inventory - Packaged Grocery
