UPCCode	Description
000005645460	BWC MOIST PLUS SHAMP
000005645460	BWC SHAMP MOISTURE PLUS
000005645460	MOISTURE PLUS SHAMPOO
000005645460	SHAMP,MOISTURE PLUS
000005645461	BWC COND MOISTURE PLUS
000005645461	BWC MOIST PLUS COND
000005645461	COND,MOISTURE PLUS
000005645461	MOISTURE PLUS CONDITIO
000005645462	BWC DAILY SHAMP
000005645462	BWC SHAMP DAILY BENEFIT
000005645462	DAILY BENEFITS SHAMPOO
000005645462	SHAMP,DAILY BENEFITS
000005645468	BWC LEAVE IN CONDITNR
000005645468	COND,LEAVE-IN
000005645470	BWC SPRAY GEL VOLUME
000005645470	BWC VOL PLUS SPRAY
000005645470	HAIR SPRAY GEL,NOURISHING
000005645470	SPRAY GEL,VOLUME PLUS
000005645470	YO CALCIUM,OG,FF,WLD BRY
000005645472	BWC NAT HAIR SPRAY
000005645472	HAIR SPRAY,NATURAL HOL
000005645472	HAIR SPRAY,NATURAL HOLD
000005645472	JUICE,OG,SAUERKRAUT
000036000001	ECO DENT XTRA BRITE MINT
000036000001	TTHPOWDR,XTRA-BRITE,F
000036000001	TTHPOWDR,XTRA-BRITE,F/F
000036000001	TTHPWDR,EXTRABRITE,W/O
000036000001	TTHPWDR,EXTRABRITE,W/O FL
000036000006	ECO DNT TOOTHPWD MINT
000036000006	TTHPOWDR,DAILYCARE,MIN
000036000006	TTHPOWDR,DAILYCARE,MINT
000036000006	TTHPOWDR,DLY CARE,MIN
000036000006	TTHPOWDR,DLY CARE,MINT
000036000008	ECO DNT TOOTHPWD ANISE
000036000008	TTHPOWDR,DAILYCARE,ANI
000036000008	TTHPOWDR,DAILYCARE,ANISE
000036000008	TTHPOWDR,DLY CARE,ANI
000036000008	TTHPOWDR,DLY CARE,ANISE
000036005300	BETWEEN DENTAL GUM,MI
000036005300	BETWEEN DENTAL GUM,MIN
000036005300	BETWEEN DENTAL GUM,MINT
000036005300	BUTTER,OG,WHIPPED
000036005300	DENTAL GUM COOL MINT
000036005300	ECO DENT CLMINT DNTL GUM
000036005400	BETWEEN DENTAL GUM,CI
000036005400	BETWEEN DENTAL GUM,CIN
000036005400	BETWEEN DENTAL GUM,CINN
000036005400	DENTAL GUM CINNAMON
000036005400	ECO DENT CINN DENTAL GUM
000036005500	BETWEEN DENTAL GUM,WN
000036005500	BETWEEN DENTAL GUM,WNT
000036005500	BETWEEN DENTAL GUM,WNTGRN
000036005500	DENTAL GUM WINTERGREEN
000036005500	ECO DENT WNTRGR DNTL GUM
000051830011	BUBBLE BATH FOR KIDS
000051830011	BUBBLE BTH,KIDS,ORIGI
000051830011	KIDS BUBBLE BATH ORIG
000051830011	RR BUBBLE BATH FOR KIDS
000051860001	KIDS HAIR CARE ORIG
000051860001	RR SHAMPOO FOR KIDS
000051860001	SHAMPOO FOR KIDS-ORIGI
000051860001	SHAMPOO FOR KIDS-ORIGINAL
000051860001	SHAMPOO,KIDS,ORIGNIAL
000051860002	DETANGLER FOR KIDS
000051860002	DETANGLER SPRAY,KIDS
000051860002	KIDS DETANGLER
000051860002	KIDS HAIR DETANGLER
